patient,TP53,BRCA1
TCGA-C8-A1HL,5.4683,2.2753
TCGA-EW-A2FS,4.66,1.8484
TCGA-A2-A3XX,6.6503,3.1045
TCGA-Z7-A8R5,5.5793,0.1257
TCGA-B6-A0RL,5.033,4.0127
TCGA-E2-A2P6,4.2995,2.4883
TCGA-AO-A1KT,5.804,3.0481
TCGA-E9-A3HO,5.5491,3.3134
TCGA-D8-A1XJ,6.1599,3.1829
TCGA-AC-A2FK,5.8716,1.1382
TCGA-E9-A1R4,6.5347,3.7453
TCGA-LL-A740,4.497,1.736
TCGA-BH-A0BZ,4.7247,3.2127
TCGA-C8-A3M8,4.8048,3.7518
TCGA-BH-A0BM,4.3681,0.8647
TCGA-AN-A0XW,4.927,2.6533
TCGA-E2-A1LL,3.6669,2.9875
TCGA-BH-A18K,5.8148,2.2452
TCGA-BH-A28O,5.5176,1.46
TCGA-A7-A4SC,5.4712,2.2543
TCGA-E9-A24A,5.5919,2.3816
TCGA-AC-A6IV,5.6656,2.6138
TCGA-B6-A400,3.7061,2.6114
TCGA-A8-A096,5.8951,3.1749
TCGA-E2-A1LH,5.3151,1.1316
TCGA-B6-A0RH,5.5934,1.3109
TCGA-A8-A07W,5.6393,4.7066
TCGA-B6-A0X7,5.026,1.9822
TCGA-EW-A1P0,5.5766,3.0163
TCGA-EW-A1PC,5.6029,5.0858
TCGA-A7-A0CH,5.6764,2.3981
TCGA-E9-A2JS,4.7549,4.1036
TCGA-A2-A1G6,5.6921,2.081
TCGA-B6-A0WV,5.8763,4.1859
TCGA-UL-AAZ6,5.6121,1.4281
TCGA-B6-A0RG,5.3399,2.6067
TCGA-A7-A0DC,4.95343531,2.1191302723
TCGA-A2-A0CR,4.981,0.4016
TCGA-GM-A2DD,5.4568,1.0363
TCGA-BH-A6R9,5.6091,1.4962
TCGA-HN-A2OB,5.1934,1.4174
TCGA-UU-A93S,5.3488,2.694
TCGA-AR-A24P,5.332,4.0824
TCGA-E9-A1N9,3.7656,3.4371
TCGA-B6-A0I9,6.1463,3.1162
TCGA-E2-A1L9,6.0553,2.5437
TCGA-AC-A23H,6.1926,2.7826
TCGA-AR-A1AP,3.8147,2.5437
TCGA-BH-A0H5,5.5151,2.1702
TCGA-OK-A5Q2,5.7485,3.1685
TCGA-BH-A0E6,2.9413,1.6512
TCGA-D8-A1JA,5.1966,1.8036
TCGA-BH-A0BW,4.1899,3.9012
TCGA-B6-A0WZ,4.5148,2.3592
TCGA-C8-A135,3.5766,2.0535
TCGA-BH-A0E2,5.8329,1.816
TCGA-BH-A0BJ,5.7134,2.0325
TCGA-BH-A203,5.9885,2.1894
TCGA-A2-A1G1,3.7625,3.1971
TCGA-BH-A0C7,6.0898,5.0392
TCGA-E2-A14X,3.47,2.4279
TCGA-BH-A8FZ,4.2396,2.1013
TCGA-S3-AA17,4.5886,2.9692
TCGA-AR-A1AR,4.3758,3.7421
TCGA-D8-A13Z,6.7163,3.3828
TCGA-A7-A6VX,4.8939,2.7422
TCGA-AR-A255,5.7769,3.3061
TCGA-AR-A1AT,5.3212,3.0671
TCGA-A2-A0CU,4.6497,3.4609
TCGA-BH-A0AZ,5.1198,1.9786
TCGA-E2-A1IH,5.1123,2.4985
TCGA-BH-A18R,5.839,2.8361
TCGA-AC-A4ZE,4.0171,3.3591
TCGA-B6-A0RS,5.3202,1.5415
TCGA-AR-A24H,2.7889,4.9369
TCGA-A8-A099,5.7077,2.909
TCGA-A8-A09R,5.347,4.225
TCGA-EW-A6SC,4.8783,2.1213
TCGA-D8-A1XC,5.5283,2.5585
TCGA-EW-A1PE,5.1575,3.1955
TCGA-E2-A1II,6.3975,3.1781
TCGA-S3-AA14,5.2208,2.1925
TCGA-A8-A09B,5.9442,3.3336
TCGA-AR-A5QP,5.1035,2.1378
TCGA-E9-A6HE,3.5136,2.3222
TCGA-BH-A0HI,5.5423,2.0638
TCGA-EW-A1P1,5.6528,1.7995
TCGA-OL-A66P,3.5718,-0.4719
TCGA-A2-A1G4,4.691,3.8847
TCGA-E2-A105,5.3844,4.0331
TCGA-E2-A573,6.2791,3.1011
TCGA-A2-A0EV,5.1518,3.9412
TCGA-A8-A08A,6.04,2.3106
TCGA-E9-A1RG,2.2603,2.4857
TCGA-D8-A1XL,5.701,3.0671
TCGA-A2-A0ER,4.5547,3.1717
TCGA-OL-A66K,5.693,2.6873
TCGA-EW-A1OX,5.3288,1.766
TCGA-S3-AA10,4.1261,3.6748
TCGA-A8-A0A9,5.975,3.2018
TCGA-BH-A1FB,5.7905,2.2543
TCGA-A2-A04T,6.5797,-1.0262
TCGA-OL-A5S0,4.2631,1.9564
TCGA-A8-A07J,5.7632,2.1013
TCGA-E9-A229,5.3245,3.3478
TCGA-A2-A0SX,6.8907,2.971
TCGA-BH-A0AW,5.0045,0.6239
TCGA-BH-A2L8,5.8199,2.7073
TCGA-BH-A0B6,4.9672,0.7579
TCGA-AO-A0JL,2.9319,-0.2328
TCGA-BH-A0BS,5.3576,2.5756
TCGA-B6-A0IG,5.1056,4.7549
TCGA-OL-A66L,4.5066,0.099
TCGA-BH-A0DO,5.8997,2.0569
TCGA-LL-A73Y,4.0523,1.8363
TCGA-BH-A0DK,5.2525,1.2209
TCGA-BH-A0BG,3.7961,2.183
TCGA-A8-A06Z,2.5876,3.417
TCGA-AN-A0AT,4.0162,-0.0574
TCGA-E2-A14U,5.7853,1.5266
TCGA-AR-A24Q,7.1886,1.5216
TCGA-EW-A1P5,5.0113,3.4556
TCGA-BH-A1FN,5.9709,3.4048
TCGA-A7-A4SE,7.3349,1.614
TCGA-A1-A0SJ,4.842,2.3536
TCGA-E2-A570,5.1607,2.3704
TCGA-BH-A201,5.2642,2.5731
TCGA-A8-A09E,5.81,3.7794
TCGA-D8-A27V,5.5491,1.766
TCGA-E2-A14Y,5.1843,1.9415
TCGA-MS-A51U,5.6479,1.6187
TCGA-A8-A06Y,6.0999,1.7229
TCGA-GI-A2C8,3.6324,0.3115
TCGA-AR-A1AM,5.2862,1.1316
TCGA-AN-A041,5.6696,3.7313
TCGA-B6-A409,3.208,1.3167
TCGA-BH-A1EX,5.8851,2.9507
TCGA-A7-A0CJ,5.5868,2.2633
TCGA-BH-A0H0,4.9416,3.7877
TCGA-LL-A5YO,5.291,0.7832
TCGA-AN-A0FW,5.365,1.3167
TCGA-AC-A6IX,5.1081,1.6785
TCGA-A2-A04Y,4.851,1.9675
TCGA-E2-A156,6.24,3.4075
TCGA-AR-A24R,5.8987,3.2915
TCGA-D8-A1JP,5.2664,3.3814
TCGA-E2-A1IK,5.2126,1.8201
TCGA-AN-A0FS,5.1285,2.4465
TCGA-AC-A3TM,5.5723,1.6466
TCGA-C8-A12K,5.8711,3.1045
TCGA-AR-A2LE,4.3903,2.1444
TCGA-BH-A0HK,4.402,1.3454
TCGA-AR-A250,5.3906,3.4739
TCGA-D8-A1JG,3.9374,2.561
TCGA-C8-A134,6.0499,-0.1504
TCGA-AN-A0FX,6.3381,1.4704
TCGA-AC-A62V,4.3611,2.1147
TCGA-GM-A3XN,5.6775,1.412
TCGA-C8-A275,5.3681,2.3423
TCGA-AO-A129,6.6352,0.6239
TCGA-BH-A1F8,5.6944,3.7039
TCGA-D8-A1JK,3.5971,2.7826
TCGA-A8-A08X,5.6582,2.3564
TCGA-AR-A2LN,5.438,1.884
TCGA-A8-A09A,4.9547,2.8916
TCGA-E2-A1IJ,5.1579,2.1247
TCGA-A8-A08O,5.4941,3.6184
TCGA-A2-A4RY,5.8468,1.5612
TCGA-A2-A0SY,5.0691,1.7403
